name,version,licenseType,sourceLink,description,tags
Ace Ajax.org Cloud9 Editor,1.2.2,BSD,https://github.com/ajaxorg/ace/archive/v1.2.2.tar.gz,Ace is an embeddable code editor written in JavaScript. It matches the features and performance of native editors such as Sublime  Vim and TextMate. It can be easily embedded in any web page and JavaScript application. Ace is maintained as the primary editor for Cloud9 IDE and is the successor of the Mozilla Skywriter (Bespin) project. ,"editor,js"
ace-builds,1.2.0,BSD,https://github.com/ajaxorg/ace-builds/tree/v1.2.0,Ace is a code editor written in JavaScript.,"editor,js"
ActiveMQ,5.10.1,Apache v2,http://activemq.apache.org/activemq-5101-release.html,Apache ActiveMQ  is the most popular open source  multi-protocol  Java-based messaging server. It supports industry standard protocols so users get the benefits of client choices across a broad range of languages and platforms. Connectivity from C  C++  Python  .Net  and more is available. Integrate your multi-platform applications using the ubiquitous AMQP protocol. Exchange messages between your web applications using STOMP over websockets. Manage your IoT devices using MQTT. Support your existing JMS infrastructure and beyond. ActiveMQ offers the power and flexibility to support any messaging use-case.,"messaging,jms"
Activiti,5.19.0.2 (subset),Apache v2,https://github.com/Activiti/Activiti/releases,Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people  developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java. It's open-source and distributed under the Apache license. Activiti runs in any Java application  on a server  on a cluster or in the cloud. It integrates perfectly with Spring  it is extremely lightweight and based on simple concepts.,"ci-cd,cloud"
Advanced Recycler,0.7.2,Apache v2,https://github.com/h6ah4i/android-advancedrecyclerview,This RecyclerView extension library provides Google's Inbox app like swiping  Play Music app like drag-and-drop sorting and expandable item features.,android
afnetworkingactivitylogger,2.0.4,MIT,https://github.com/afnetworking/AFNetworkActivityLogger,AFNetworkActivityLogger is an extension for AFNetworking 2.0 that logs network requests as they are sent and received. ,logging
AFNetworkLumberjackLogger,3.0.0,MIT,https://github.com/RomainBoulay/AFNetworkLumberjackLogger/releases/tag/lumberjack-3.0.0,AFNetworkLumberjackLogger is an extension for AFNetworking 2.0 that logs network requests as they are sent and received. ,logging
ag-grid,2.3.5,MIT,https://github.com/ceolter/ag-grid/releases,ag-Grid is a fully-featured and highly customizable JavaScript data grid. It delivers outstanding performance  has no 3rd party dependencies and integrates smoothly with all major JavaScript frameworks.,"ui,js,grid"
airlift,0.7,Apache v2, https://github.com/airlift/airlift/archive/0.70.zip,Airlift is a framework for building REST services in Java.,"java,rest"
ajv,3.4.0,MIT,https://github.com/epoberezkin/ajv,The fastest JSON Schema validator for Node.js and browser.,"json,nodejs"
Alamofire,2.0.2,MIT,https://github.com/Alamofire/Alamofire,HTTP Networking in Swift language for iOS and macOS,"swift,networking,ios,macos"
Alfresco JLAN Embed,4.0.e,LGPL v2.1,https://svn.alfresco.com/repos/alfresco-open-mirror/alfresco/COMMUNITYTAGS/V4.0e/root/projects/alfresco-jlan/source/java/,Alfresco Community Edition is the open source alternative for Enterprise Content Management. Alfresco JLAN is a unique implementation of an embedded virtual file system that offers the only Java client and server implementation of Microsoft Window CIFS (Common Internet File System) protocol allowing content system administration information and rows in a database to appear as a shared drive. The shared drive is the de-facto document management interface for the vast majority of computer users today.,"embedded,file-system,virtual"
AlivePDF,0.1.5,MIT,http://alivepdf.bytearray.org/,AlivePDF is a client side AS3 PDF generation library for Adobe Flash  Flex and AIR,pdf
Ambari,2.2,Apache v2,http://www.us.apache.org/dist/ambari/ambari-2.2.0/apache-ambari-2.2.0-src.tar.gz,The Apache Ambari project is aimed at making Hadoop management simpler by developing software for provisioning  managing  and monitoring Apache Hadoop clusters. Ambari provides an intuitive  easy-to-use Hadoop management web UI backed by its RESTful APIs.,"bigdata,cluster"
android-beacon-library,2.1.4,Apache v2,https://github.com/AltBeacon/android-beacon-library,Allows Android apps to interact with BLE beacons.It allows Android devices to use beacons much like iOS devices do. An app can request to get notifications when one or more beacons appear or disappear. An app can also request to get a ranging update from one or more beacons at a frequency of approximately 1Hz. It also allows Android devices to send beacon transmissions  even in the background.,"android,ui,notification"
Android Swipe Layout,1.2.0,MIT,https://github.com/daimajia/AndroidSwipeLayout,Integrate swiping with UI component.,"android,ui"
Angular,1.2.28,MIT,https://angular.io,one way to build applications with Angular and reuse your code and abilities to build apps for any deployment target.Angular is a platform for building mobile and desktop web applications. Join the community of millions of developers who build compelling user interfaces.,"ui,framework"
angular-contenteditable,0.2.0,MIT,https://github.com/akatov/angular-contenteditable,An AngularJS directive to bind html tags with the contenteditable attribute to models.This is micro Angular v6+ contenteditable directive for compatibility with Angular forms. It just implements ControlValueAccessor for this purpose.,"ui,angular"
angular-dragdrop,1.0.8,MIT,https://github.com/codef0rmer/angular-dragdrop/archive/v1.0.8.zip,Drag and Drop for AngularJS (with Animation).Implementing jQueryUI Drag and Drop functionality in AngularJS is easier than ever which is a wrapper for jQueryUI draggable/droppable components.,"ui,animation"
angular-elastic,2.4.2,MIT,https://github.com/monospaced/angular-elastic/archive/v2.4.2.zip,Elastic (autosize) textareas for AngularJS  without jQuery dependency.,"ui,angular"
angular-elastic-input,2.0.1,MIT,https://github.com/jacek-pulit/angular-elastic-input/archive/v2.0.1.zip,A directive for AngularJS which automatically resizes the width of input field according to the content  while typing,"ui,angular"
angular-feature-flags,0.1.0,MIT,https://github.com/mjt01/angular-feature-flags,An AngularJS module that allows you to control when you release new features in your app by putting them behind feature flags/switches.Support feature toggle with trunk based development to allow us to continue development without branching code.,"ui,feature,angular"
angular-filter,0.5.4,MIT,https://github.com/a8m/angular-filter/archive/v0.5.4.zip,A bundle of useful filters for AngularJS (with no external dependencies),"ui,filter,angular"
angular-highlightjs,0.4.3,MIT,http://search.maven.org/remotecontent?filepath=org/webjars/angular-highlightjs/0.4.3/angular-highlightjs-0.4.3.jar,AngularJS directive for syntax highlighting with highlight.js.,"ui,angular"
angular-ivh-treeview,1.0.1,MIT,https://github.com/iVantage/angular-ivh-treeview,Check box tree view functionality. A treeview for AngularJS with filtering  checkbox support  custom templates  and more.,"ui,filter,angular"
AngularJS,1 5,MIT & JSON with no evil clause,Home Page https://www.angularjs.org/  & Source: https://github.com/angular/angular.js/releases/tag/v1.5.0,Framework for building interactive GUIs,"ui,angular"
angular-local-storage,0.2.2,MIT,https://github.com/grevory/angular-local-storage/tags,An Angular module that gives you access to the browsers local storage.,"ui,angular,storage"
angular-multi-select-tree,0.1.0,MIT,https://github.com/a5hik/angular-multi-select-tree,Drop down select higherarchy.  ,"ui,angular,multi-select"
angular-nvd3,1.0.1,MIT,https://github.com/krispo/angular-nvd3/archive/master.zip,The library is used to produce charts/graphs to display analytic data in a visual format. ,"ui,angular"
angular-schema-form-datepicker,0.4.0,MIT,Home: http://schemaform.io/  & Source: https://github.com/Textalk/angular-schema-form-datepicker/releases/tag/0.4.0,Date picker within Schema Form  pickadate only supports dates - not times.,"ui,angular,chronology"
angular-translate,2.8.1,Apache v2,https://github.com/angular-translate/angular-translate,angular-translate is an AngularJS module that makes your life much easier when it comes to i18n and l10n including lazy loading and pluralization.,"i18n,angular"
angular-ui-bootstrap-contextmenu,0.9.1,MIT,https://github.com/Templarian/ui.bootstrap.contextMenu,AngularJS UI Bootstrap Module for adding context menus to element,"ui,angular,context-menu"
